Region,PA,N,Month,Season,Year,ID,Act_score,Impact_sco,ImpactS_t1,ImpactS_t2,ImpactS_t3,ImpactS_t4,ImpactS_t5,Area,PercentBLW,Fal,Roe,Red,CWD,Mun,Sik,FCNE
North West,Cumbria,1,4,Spring,2019,2569,3,3,NA,NA,NA,NA,NA,0.438290091,0.00,1,1,1,0,0,0,1
South East,NA,1,3,Spring,2015,7590,5,5,NA,NA,NA,NA,NA,0.500843025,0.89,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7146,3,3,NA,NA,NA,NA,NA,0.501802266,0.00,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7488,3,3,NA,NA,NA,NA,NA,0.529034078,1.00,1,1,0,0,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7608,3,3,NA,NA,NA,NA,NA,0.54394478,0.88,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7496,5,5,NA,NA,NA,NA,NA,0.545401646,0.99,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7095,4,4,NA,NA,NA,NA,NA,0.560820188,0.00,1,1,0,1,1,0,0
South East,NA,1,3,Spring,2015,7497,3,3,NA,NA,NA,NA,NA,0.584909611,1.01,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7498,5,5,NA,NA,NA,NA,NA,0.597649934,1.00,1,1,0,0,1,1,0
East of England,NA,1,9,Autumn,2016,7096,4,4,NA,NA,NA,NA,NA,0.603873283,0.00,1,1,0,1,1,0,0
East of England,NA,1,3,Spring,2015,7062,4,4,NA,NA,NA,NA,NA,0.604644235,0.00,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7499,5,5,NA,NA,NA,NA,NA,0.6084008,0.97,1,1,0,0,1,1,0
North West,NA,1,3,Spring,2015,7317,5,5,NA,NA,NA,NA,NA,0.622964389,0.00,1,1,1,0,0,0,0
East of England,NA,1,9,Autumn,2016,7252,3,5,NA,NA,NA,NA,NA,0.626090618,0.00,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7500,4,4,NA,NA,NA,NA,NA,0.634168382,1.06,1,1,1,0,1,0,0
South East,Oxford,1,3,Spring,2015,7501,4,4,NA,NA,NA,NA,NA,0.651831749,0.95,1,1,0,1,1,0,1
West Midlands,West Midlands,1,3,Spring,2015,7609,3,3,NA,NA,NA,NA,NA,0.664828797,1.01,1,1,0,0,1,0,1
South East,NA,1,3,Spring,2015,7502,3,3,NA,NA,NA,NA,NA,0.674723278,0.97,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7503,5,5,NA,NA,NA,NA,NA,0.735555278,0.99,1,1,0,0,1,1,0
North West,Cumbria,1,4,Spring,2017,2493,3,3,1,3,NA,NA,NA,0.740715267,0.00,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2493,1,1,3,NA,NA,NA,NA,0.740715267,0.00,1,1,1,0,0,1,1
North West,Cumbria,1,4,Spring,2019,2493,3,3,NA,NA,NA,NA,NA,0.740715267,0.00,1,1,1,0,0,1,1
East Midlands,NA,1,3,Spring,2015,7640,4,3,NA,NA,NA,NA,NA,0.747382834,1.00,1,0,1,0,1,0,0
South East,NA,1,3,Spring,2015,7504,3,3,NA,NA,NA,NA,NA,0.766301233,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7505,5,5,NA,NA,NA,NA,NA,0.805528016,0.99,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7506,5,5,NA,NA,NA,NA,NA,0.814398528,1.01,1,1,0,0,1,1,0
South East,NA,1,3,Spring,2015,7507,3,3,NA,NA,NA,NA,NA,0.817494054,0.80,1,1,0,0,1,0,0
East of England,Suffolk,1,3,Spring,2019,2894,3,4,NA,NA,NA,NA,NA,0.84005511,0.88,1,1,0,0,1,0,1
East of England,NA,1,3,Spring,2013,7203,3,5,5,1,NA,NA,NA,0.841012102,0.60,1,0,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7203,3,5,1,NA,NA,NA,NA,0.841012102,0.60,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7203,3,1,NA,NA,NA,NA,NA,0.841012102,0.60,1,1,1,0,1,0,0
East Midlands,East Midlands,1,3,Spring,2019,3315,1,1,NA,NA,NA,NA,NA,0.841105919,1.00,0,0,0,0,1,0,1
South East,NA,1,3,Spring,2015,7586,3,5,NA,NA,NA,NA,NA,0.844856917,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7508,3,4,NA,NA,NA,NA,NA,0.856831018,1.00,1,1,0,0,1,0,0
East of England,NA,1,9,Autumn,2016,7231,4,4,NA,NA,NA,NA,NA,0.85801075,0.91,1,1,0,1,1,0,0
West Midlands,West Midlands,1,3,Spring,2015,7610,3,3,NA,NA,NA,NA,NA,0.863157366,1.12,1,1,0,0,1,0,1
North West,Cumbria,1,5,Spring,2017,2594,1,1,1,1,NA,NA,NA,0.871382391,0.92,0,1,0,0,0,0,1
North West,Cumbria,1,5,Spring,2018,2594,1,1,1,NA,NA,NA,NA,0.871382391,0.92,0,1,0,0,0,0,1
North West,Cumbria,1,4,Spring,2019,2594,1,1,NA,NA,NA,NA,NA,0.871382391,0.92,1,1,1,0,0,0,1
South East,NA,1,3,Spring,2015,7509,5,5,NA,NA,NA,NA,NA,0.893845062,0.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7510,3,3,NA,NA,NA,NA,NA,0.91078377,1.00,1,1,0,0,1,0,0
South East,NA,1,3,Spring,2015,7511,2,2,NA,NA,NA,NA,NA,0.916615686,1.00,1,1,1,0,1,1,0
North West,Cumbria,1,4,Spring,2019,1323,0,0,NA,NA,NA,NA,NA,0.926041671,0.00,1,1,1,0,0,1,1
West Midlands,West Midlands,1,3,Spring,2015,7611,3,3,NA,NA,NA,NA,NA,0.982493104,0.80,1,1,0,0,1,0,1
North West,Cumbria,1,9,Autumn,2013,2518,3,4,NA,NA,NA,NA,NA,0.985629756,0.47,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2518,3,5,NA,NA,NA,1,1,0.985629756,0.47,0,1,1,0,0,0,1
North West,Cumbria,1,5,Spring,2017,2518,1,1,1,1,NA,NA,NA,0.985629756,0.47,0,1,0,0,0,0,1
